Ticker,Date,Open,High,Low,Close,Volume,Adj Close,VIX_Close,TNX_Close
AAPL,2023-06-22,181.91859254012144,185.19577812392734,181.84927919785179,185.14627075195312,51245300,185.14627075195312,12.90999984741211,3.7990000247955322
AAPL,2023-06-23,183.71063403229002,185.70070333532985,183.17597862652977,184.8294219970703,53079300,184.8294219970703,13.4399995803833,3.739000082015991
AAPL,2023-06-26,184.9779592329188,186.18586660248252,183.39381396241686,183.4334259033203,48088700,183.4334259033203,14.25,3.7190001010894775
AAPL,2023-06-27,184.04726807160984,186.52248552112178,183.8294477274505,186.1957550048828,50730800,186.1957550048828,13.739999771118164,3.7679998874664307
AAPL,2023-06-28,186.06705547946467,188.01752821246563,185.74034004157738,187.3739776611328,51216800,187.3739776611328,13.430000305175781,3.7100000381469727
AAPL,2023-06-29,187.2056476277424,188.18583917474905,187.06703605511274,187.71058654785156,46347300,187.71058654785156,13.539999961853027,3.8540000915527344
AAPL,2023-06-30,189.7303801784341,192.5521191164762,189.3640377084909,192.04718017578125,85069600,192.04718017578125,13.59000015258789,3.819000005722046
AAPL,2023-07-03,191.85907691511048,191.95809166806356,189.85909674419335,190.5521697998047,31458200,190.5521697998047,13.569999694824219,3.8580000400543213
AAPL,2023-07-05,189.6709759307026,191.06698713435688,188.7303811843197,189.433349609375,46920300,189.433349609375,14.180000305175781,3.944999933242798
AAPL,2023-07-06,187.95811200082892,190.11650951153766,187.32445692665846,189.90858459472656,45094300,189.90858459472656,15.4399995803833,4.040999889373779
AAPL,2023-07-07,189.5125387247038,190.76004279032819,188.35413885501103,188.78976440429688,46778000,188.78976440429688,14.829999923706055,4.050000190734863
AAPL,2023-07-10,187.38386117936162,188.10663557063202,185.18586681905202,186.7403106689453,59922200,186.7403106689453,15.069999694824219,4.00600004196167
AAPL,2023-07-11,187.28485666382537,187.4234682366511,184.75023641356677,186.21556091308594,46638100,186.21556091308594,14.84000015258789,3.9800000190734863
AAPL,2023-07-12,187.79970514631046,189.79968522544766,186.60170827121757,187.88882446289062,60750200,187.88882446289062,13.539999961853027,3.8610000610351562
AAPL,2023-07-13,188.61157199087162,189.29473443261006,187.89870814797314,188.6511688232422,41342300,188.6511688232422,13.609999656677246,3.760999917984009
AAPL,2023-07-14,188.3442359735881,189.28481555311026,187.75019286903466,188.7996826171875,41573900,188.7996826171875,13.34000015258789,3.819000005722046
AAPL,2023-07-17,189.9976776399959,192.39370132812152,189.9085734412509,192.0669708251953,50520200,192.0669708251953,13.479999542236328,3.796999931335449
AAPL,2023-07-18,191.43334748632677,192.40362861755497,190.51255862424458,191.8095703125,48353800,191.8095703125,13.300000190734863,3.7890000343322754
AAPL,2023-07-19,191.1857808476927,196.26491622319193,190.74022966968735,193.16595458984375,80507300,193.16595458984375,13.760000228881836,3.742000102996826
AAPL,2023-07-20,193.1560618639693,194.52238670645607,190.5917402572243,191.2154998779297,59581200,191.2154998779297,13.989999771118164,3.8540000915527344
AAPL,2023-07-21,192.17588392818155,193.03725474426253,189.33432409540026,190.03729248046875,71917800,190.03729248046875,13.600000381469727,3.8369998931884766
AAPL,2023-07-24,191.49275556563288,192.97788626161415,190.34425086826664,190.83929443359375,45377800,190.83929443359375,13.90999984741211,3.8570001125335693
AAPL,2023-07-25,191.4135192381226,192.51251639930572,191.00757994716116,191.7006378173828,37283200,191.7006378173828,13.859999656677246,3.9119999408721924
AAPL,2023-07-26,191.75014067908202,193.70061320853526,191.40361930588426,192.57191467285156,47471900,192.57191467285156,13.1899995803833,3.8510000705718994
AAPL,2023-07-27,194.07682686567816,195.2451220868233,190.64122431769522,191.30458068847656,47460200,191.30458068847656,14.40999984741211,4.01200008392334
